,singer,sing,count,production,dist,time,sex,active_type
0,임재현,사랑에 연습이 있었다면 (Prod. 2soo),44009459,"엔에스씨컴퍼니, 디원미디어",카카오 M,2019.06.02~2019.06.08,남성,솔로
1,이하이,누구 없소 (NO ONE) (Feat. B.I of iKON),43074538,YG Entertainment,YG Plus,2019.06.02~2019.06.08,여성,솔로
2,Anne-Marie,2002,41877109,Atlantic Records UK,Warner Music,2019.06.02~2019.06.08,여성,솔로
3,다비치,너에게 못했던 내 마지막 말은,38165624,Stone Music Entertainment,지니뮤직,2019.06.02~2019.06.08,여성,듀엣
4,Billie Eilish,bad guy,33544212,"Darkroom, Interscope Records",Universal Music,2019.06.02~2019.06.08,여성,솔로
5,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Hals...,32741579,빅히트 엔터테인먼트,Dreamus,2019.06.02~2019.06.08,남성,그룹
6,잔나비,주저하는 연인들을 위해,28586209,페포니 뮤직,카카오 M,2019.06.02~2019.06.08,남성,밴드
7,TWICE,FANCY,25750142,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
8,박효신,Goodbye,23823214,글러브엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,솔로
9,장범준,노래방에서,23558147,버스커버스커,카카오 M,2019.06.02~2019.06.08,남성,솔로
10,태연 (TAEYEON),사계 (Four Seasons),23489456,SM Entertainment,Dreamus,2019.06.02~2019.06.08,여성,솔로
11,WINNER,AH YEAH (아예),23150646,YG Entertainment,YG Plus,2019.06.02~2019.06.08,남성,그룹
12,볼빨간사춘기,"나만, 봄",22109270,쇼파르뮤직,카카오 M,2019.06.02~2019.06.08,여성,솔로
13,케이시 (Kassy),그때가 좋았어,20751878,넥스타엔터테인먼트,카카오 M,2019.06.02~2019.06.08,여성,솔로
14,우디(Woody),대충 입고 나와,19930459,인디안레이블,지니뮤직,2019.06.02~2019.06.08,남성,솔로
15,BLACKPINK,Kill This Love,19678247,YG Entertainment,YG Plus,2019.06.02~2019.06.08,여성,그룹
16,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,18866135,먼데이키즈 컴퍼니,카카오 M,2019.06.02~2019.06.08,남성,솔로
17,엔플라잉 (N.Flying),옥탑방,17728565,FNC엔터테인먼트,카카오 M,2019.06.02~2019.06.08,남성,밴드
18,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",17279186,SM Entertainment,Dreamus,2019.06.02~2019.06.08,남성,솔로
19,엠씨더맥스 (M.C The Max),사계 (하루살이),17186896,325 이엔씨,카카오 M,2019.06.02~2019.06.08,남성,밴드
20,ITZY (있지),달라달라,17169233,JYP Entertainment,Dreamus,2019.06.02~2019.06.08,여성,그룹
21,첸 (CHEN),사월이 지나면 우리 헤어져요 (Beautiful goodbye),16700585,SM Entertainment,Dreamus,2019.06.02~2019.06.08,남성,솔로
22,볼빨간사춘기,별 보러 갈래?,15824063,쇼파르뮤직,카카오 M,2019.06.02~2019.06.08,여성,솔로
23,폴킴,너를 만나,15669404,뉴런뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
24,기리보이(Giriboy),교통정리 (Feat. 헤이즈),15591923,린치핀뮤직,카카오 M,2019.06.02~2019.06.08,남성,솔로
25,Lauv,Paris In The Rain,15043761,뮤직테이블,NHN벅스,2019.06.02~2019.06.08,남성,솔로
26,장범준,당신과는 천천히,15012276,버스커버스커,카카오 M,2019.06.02~2019.06.08,남성,솔로
27,엠씨더맥스 (M.C The Max),넘쳐흘러,14658629,325 이엔씨,카카오 M,2019.06.02~2019.06.08,남성,밴드
28,청하,벌써 12시,13781150,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.06.02~2019.06.08,여성,솔로
